Date,Open,High,Low,Close
1990-04-06 00:00:00+07:00,641.2440186,641.2440186,641.2440186,641.2440186
1990-04-09 00:00:00+07:00,633.4573364,633.4573364,633.4573364,633.4573364
1990-04-10 00:00:00+07:00,632.0613403,632.0613403,632.0613403,632.0613403
1990-04-11 00:00:00+07:00,634.6682739,634.6682739,634.6682739,634.6682739
1990-04-12 00:00:00+07:00,639.5891113,639.5891113,639.5891113,639.5891113
1990-04-16 00:00:00+07:00,639.9890747,639.9890747,639.9890747,639.9890747
1990-04-17 00:00:00+07:00,641.8479614,641.8479614,641.8479614,641.8479614
1990-04-18 00:00:00+07:00,640.5031128,640.5031128,640.5031128,640.5031128
1990-04-19 00:00:00+07:00,643.8809814,643.8809814,643.8809814,643.8809814
1990-04-20 00:00:00+07:00,641.6610107,641.6610107,641.6610107,641.6610107
1990-04-23 00:00:00+07:00,643.8849487,643.8849487,643.8849487,643.8849487
1990-04-24 00:00:00+07:00,638.7730713,638.7730713,638.7730713,638.7730713
1990-05-01 00:00:00+07:00,638.9851074,638.9851074,638.9851074,638.9851074
1990-05-02 00:00:00+07:00,636.1292725,636.1292725,636.1292725,636.1292725
1990-05-03 00:00:00+07:00,642.1349487,642.1349487,642.1349487,642.1349487
1990-05-04 00:00:00+07:00,643.0689697,643.0689697,643.0689697,643.0689697
1990-05-07 00:00:00+07:00,641.9209595,641.9209595,641.9209595,641.9209595
1990-05-08 00:00:00+07:00,642.9589844,642.9589844,642.9589844,642.9589844
1990-05-09 00:00:00+07:00,644.9869385,644.9869385,644.9869385,644.9869385
1990-05-11 00:00:00+07:00,643.2869873,643.2869873,643.2869873,643.2869873
1990-05-14 00:00:00+07:00,638.8970947,638.8970947,638.8970947,638.8970947
1990-05-15 00:00:00+07:00,640.8300781,640.8300781,640.8300781,640.8300781
1990-05-16 00:00:00+07:00,639.3120728,639.3120728,639.3120728,639.3120728
1990-05-17 00:00:00+07:00,644.4158936,644.4158936,644.4158936,644.4158936
1990-05-21 00:00:00+07:00,647.1907959,647.1907959,647.1907959,647.1907959
1990-05-22 00:00:00+07:00,647.3757935,647.3757935,647.3757935,647.3757935
1990-05-23 00:00:00+07:00,646.2218018,646.2218018,646.2218018,646.2218018
1990-05-25 00:00:00+07:00,647.3347778,647.3347778,647.3347778,647.3347778
1990-05-28 00:00:00+07:00,640.1051025,640.1051025,640.1051025,640.1051025
